place_name,alternate_names,state,country,latitude,longitude,timezone_hours,altitude/elevation
Godella,Godella,Valencia,Spain,39.53333,-0.41667,1.0,40.0
Gines,Gines,Andalusia,Spain,37.38647,-6.07729,1.0,119.0
Gibraleon,Gibraleon|Khibraleon|Xibraleon|xi fu la lai weng,Andalusia,Spain,37.37628,-6.96895,1.0,34.0
Gerena,Gerena,Andalusia,Spain,37.52957,-6.15479,1.0,87.0
Gelves,Gelves,Andalusia,Spain,37.33481,-6.02601,1.0,8.0
Gata de Gorgos,Gata|Gata de Gorgos,Valencia,Spain,38.77443,0.08538,1.0,84.0
Garrucha,Garrucha|Garrucho|La Garrucha,Andalusia,Spain,37.18141,-1.82252,1.0,16.0
Garachico,Garachico|Garachiko,Canary Islands,Spain,28.77807,-17.76459,0.0,295.0
Garachico,Garachico|Garachiko|Garachiro,Canary Islands,Spain,28.37365,-16.76342,0.0,19.0
Gandia,Gandia|Gandie|Gandija,Valencia,Spain,38.96667,-0.18333,1.0,34.0
Galdar,Gal'dar|Galdar,Canary Islands,Spain,28.14701,-15.6502,0.0,148.0
Fuentes de Andalucia,Fuentes de Andalucia,Andalusia,Spain,37.46409,-5.34615,1.0,181.0
Fuente Palmera,Fuente Palmera,Andalusia,Spain,37.70494,-5.09965,1.0,162.0
Fuente Obejuna,Fuente Obejuna|Fuenteovejuna,Andalusia,Spain,38.26667,-5.41667,1.0,610.0
Fuente del Maestre,Fuente del Maestre,Extremadura,Spain,38.52656,-6.44782,1.0,444.0
Fuente-Alamo de Murcia,Fuente Alamo|Fuente Alamo de Murcia,Murcia,Spain,37.72389,-1.16972,1.0,127.0
Fuengirola,FGR|Fuehnkhirola|Fuengirola|Fuenkhirola|feng xi luo la|fu en ji luo la|fwynkhyrwla|shyl,Andalusia,Spain,36.53998,-4.62473,1.0,13.0
Foios,Foios|Foyos,Valencia,Spain,39.53333,-0.35,1.0,18.0
Fortuna,Fortuna,Murcia,Spain,38.1814,-1.1259,1.0,205.0
Firgas,Firgas,Canary Islands,Spain,28.10711,-15.56299,0.0,510.0
Fernan-Nunez,Fernan Nunez|Fernan-Nun'es|Fernan-Nunez|fei er nan-nu nie si|fyrnan-nwnyyz  qrtbt,Andalusia,Spain,37.67044,-4.7264,1.0,325.0
Felanitx,Felanitx,Balearic Islands,Spain,39.4696,3.14831,1.0,116.0
Estepona,EVO|Ehstepona|Estepona|ai si te bo na|astybwna|esutepona,Andalusia,Spain,36.42764,-5.14589,1.0,69.0
Estepa,Ehstepa|Estepa|ai si te pa|astbt,Andalusia,Spain,37.29263,-4.87896,1.0,523.0
Espartinas,Espartinas,Andalusia,Spain,37.38154,-6.12578,1.0,132.0
Esparragal,Caserio Esparragal|Esparragal,Murcia,Spain,38.03333,-1.08333,1.0,44.0
Enguera,Enguera,Valencia,Spain,38.97974,-0.68683,1.0,315.0
El Viso del Alcor,El Viso del Alcor|Viso del Alcor,Andalusia,Spain,37.39106,-5.71993,1.0,167.0
El Puerto de Santa Maria,Ehl'-Puehrto-de-Santa-Marija|El Puerto|El Puerto de Santa Maria|El'-Puerto-de-Santa-Marija|PXS|Portus Sanctae Mariae|Pto. de Sta. Maria|Puerto|Puerto de Santa Maria|Puerto de Santa Marija|al bwyrtw dy santa marya|elpueleutodesantamalia|sheng ma li ya gang|xelpwyr to de san ta ma ri xa,Andalusia,Spain,36.59389,-6.23298,1.0,11.0
El Plan,,Murcia,Spain,37.65,-1.01667,1.0,49.0
El Paso,Ehl'-Paso|El Paso|El'-Paso|Paso|ai er pa suo|al basw  santa krwth dy tynyryfh,Canary Islands,Spain,28.65007,-17.88274,0.0,641.0
El Grao,El Grao|El Grao de Gandia|Grao|Grao de Castellon,Valencia,Spain,39.97358,0.01284,1.0,6.0
El Ejido,Barriada El Ejido|Ehl'-Ehkhido|Ejido|Ekhido|El Edzido|El Ejido|El'-Ekhido|ai lai xi duo|al akhydw|alayjaydw,Andalusia,Spain,36.77629,-2.81456,1.0,84.0
Elda,Ehl'da|El'da|Elda|ai er da|alda|xe lda,Valencia,Spain,38.47783,-0.79157,1.0,412.0
El Cuervo,Caserio El Cuervo,Andalusia,Spain,36.85298,-6.03785,1.0,62.0
El Coronil,El Coronil|El Goronil,Andalusia,Spain,37.07955,-5.6341,1.0,134.0
Elche,Ehl'ch|Ehl'che|El'che|Elce|Elch|Elche|Elig|Elx|Illici|ai er qie|alchh|alsh|elche|eruche|xelche,Valencia,Spain,38.26218,-0.70107,1.0,96.0
El Casar,Cortijo El Casar|El Casar,Extremadura,Spain,38.53089,-5.92513,1.0,499.0
s'Arenal,Arenal'|El Arenal|S'Arenal|l'Arenal,Balearic Islands,Spain,39.5,2.75,1.0,5.0
El Arahal,Arahal|El Arahal,Andalusia,Spain,37.26273,-5.5453,1.0,118.0
El Altet,El Alted|El Altet,Valencia,Spain,38.27299,-0.5397,1.0,17.0
Ecija,Ecija|Ehsikha|Esikha|Exija|ai xi ha|astjt,Andalusia,Spain,37.5422,-5.0826,1.0,105.0
Durcal,,Andalusia,Spain,36.98788,-3.56601,1.0,789.0
Dos Hermanas,Dos Ermanas|Dos Hermanas,Andalusia,Spain,37.28287,-5.92088,1.0,45.0
Don Benito,Don Benito|Don Benitu|Don-Benito|dong wei ni tuo|dwn bynaytw,Extremadura,Spain,38.95627,-5.86162,1.0,285.0
Dona Mencia,Dona Mencia,Andalusia,Spain,37.55346,-4.35602,1.0,597.0
Dolores,Dolores|Dolors,Valencia,Spain,38.14002,-0.77088,1.0,9.0
Denia,Denia|Denija,Valencia,Spain,38.84078,0.10574,1.0,18.0
Daimiel,Daimiel|Dajm'el'|Dajmel'|dai mi ye er|daymyl  sywdad ryal,Castille-La Mancha,Spain,39.07004,-3.61498,1.0,624.0
Cullera,Cullera|Kul'era|ku lie la,Valencia,Spain,39.16667,-0.25,1.0,117.0
Cullar-Vega,,Andalusia,Spain,37.15361,-3.67072,1.0,643.0
Cuevas del Almanzora,Cuevas de Almanzora|Cuevas de Vera|Cuevas del Almanzora|Kevas del Almazora|Kuehvas-del'-Al'mansora|Kuevas-del'-Al'mansora|khwf almnswrt|ku ai wa si de la er man suo la|kwybas dl almanswra,Andalusia,Spain,37.29678,-1.88218,1.0,102.0
Quart de Poblet,Cuart de Poblet|Kuart-de-Poblet|Quart de Poblet,Valencia,Spain,39.48139,-0.43937,1.0,43.0
Crevillente,Crevillent|Crevillente|Krevil'ente,Valencia,Spain,38.24994,-0.80975,1.0,146.0
Cox,Coix|Cox,Valencia,Spain,38.14164,-0.88736,1.0,22.0
Corralejo,Corralejo|Koral'ekho|QFU|ke la lai huo|korarehho,Canary Islands,Spain,28.73079,-13.86749,0.0,14.0
Corral de Almaguer,Corral de Almaguer,Castille-La Mancha,Spain,39.75987,-3.16452,1.0,706.0
Coria del Rio,Coria del Rio|Koria-del'-Rio,Andalusia,Spain,37.28766,-6.0541,1.0,13.0
Coria,Coria,Extremadura,Spain,39.98406,-6.53603,1.0,192.0
Cordoba,Cardoue|Cordoa|Cordoba|Cordoba i Spania|Cordoue|Cordova|Corduba|Kordava|Kordoba|Kordova|Kordovo|Kordowa|ODB|ge duo hua|ke er duo wa|koleudoba|kordoba|korudoba|kurtupa|kwrdwba|kxr do ba|qrtbh|qrtbt|qwrdwbh,Andalusia,Spain,37.89155,-4.77275,1.0,117.0
Consuegra,Aebura|Consuegra|Konsuegra|Konsuehgra|kong su ai ge la,Castille-La Mancha,Spain,39.46246,-3.608,1.0,708.0
Constantina,Constantina|Konstantina|Laconimurgi|kong si tan di na,Andalusia,Spain,37.86667,-5.61667,1.0,537.0
Conil de la Frontera,Conil|Conil de la Frontera,Andalusia,Spain,36.27719,-6.0885,1.0,42.0
Coll d'en Rabassa,Coll d'en Rabassa|Coll d'en Rebassa,Balearic Islands,Spain,39.55083,2.69468,1.0,12.0
Coin,,Andalusia,Spain,36.65947,-4.75639,1.0,210.0
Cocentaina,Cocentaina|Kosentajna|ke sen tai na|kwkyntayna|kwsntayna,Valencia,Spain,38.73975,-0.43976,1.0,458.0
Ciudad Real,CQM|Cidade Real|Ciuda Real|Ciudad Real|S'judad-Real'|S'judad-Rehal'|Sjudad Real|Villa-Real|lei a er cheng|siudadeuleal|sywdad ryal|thywdad ryal,Castille-La Mancha,Spain,38.98626,-3.92907,1.0,633.0
Cieza,Cieza|S'esa|Siesa|sysa|thytha|xi ye sa,Murcia,Spain,38.23998,-1.41987,1.0,194.0
Churriana de la Vega,Churriana,Andalusia,Spain,37.14499,-3.64617,1.0,663.0
Chiva,Chiva|Xiva de Bunyol|qi wa,Valencia,Spain,39.46667,-0.71667,1.0,337.0
Xirivella,Chirivel'ja,Valencia,Spain,39.46588,-0.42589,1.0,35.0
Chipiona,Chipiana|Chipiona|chipiona|qi pi ao na|tshaybywna,Andalusia,Spain,36.73663,-6.43703,1.0,6.0
Chiclana de la Frontera,Chiclana|Chiclana de la Frontera|Chiklana-de-la-Frontera,Andalusia,Spain,36.41976,-6.14367,1.0,42.0
Cheste,Cheste|Xest,Valencia,Spain,39.48333,-0.68333,1.0,209.0
Ceuti,Ceuti,Murcia,Spain,38.07859,-1.27467,1.0,95.0
Cenes de la Vega,Cenes de la Vega,Andalusia,Spain,37.16006,-3.53548,1.0,751.0
Cehegin,Cehegin,Murcia,Spain,38.09242,-1.7985,1.0,541.0
Cazorla,Cazorla|Kasorla|ka suo er la|kasrla|kathwrla  khayn,Andalusia,Spain,37.91495,-3.00342,1.0,809.0
Caudete,Cabdet|Caudete,Castille-La Mancha,Spain,38.70679,-0.98723,1.0,556.0
Catral,Barrio de Catral|Barrio de Catral y Callosa|Catral|Katral'|ka te la er|katral,Valencia,Spain,38.16061,-0.80209,1.0,11.0
Catarroja,Catarroja|Katarrokh,Valencia,Spain,39.4,-0.4,1.0,11.0
Castuera,Castuera|Kastuehra|Kastuera|ka si tu ai la|kastwyra,Extremadura,Spain,38.73204,-5.5439,1.0,470.0
Castro del Rio,Castro del Rio|Kastro-del'-Rio|ka si te luo de er li ao|kastrw dyl ryw  qrtbt,Andalusia,Spain,37.69125,-4.48058,1.0,231.0
Castillo de Locubin,,Andalusia,Spain,37.52858,-3.9422,1.0,727.0
Castilleja de la Cuesta,Castilleja|Castilleja de la Cuesta,Andalusia,Spain,37.38594,-6.05258,1.0,101.0
Castello de la Plana,CDT|Castello|Castello de la Plana|Castellon|Castellon - Castello de la Plana|Castellon de la Plana|Kastel'on-de-la-Plana|Kastelon de la Plana|ka si te li weng-de la pu la na,Valencia,Spain,39.98567,-0.04935,1.0,30.0
Castalla,Castalla|Kastal'ja|ka si ta li ya|kastala|kastaya,Valencia,Spain,38.59694,-0.67207,1.0,700.0
Casariche,Casariche|Kasariche|ka sa li qie,Andalusia,Spain,37.29389,-4.75972,1.0,305.0
Cartaya,Cartaya,Andalusia,Spain,37.28114,-7.15071,1.0,16.0
Cartama,Kartama|ka er ta ma|kartama,Andalusia,Spain,36.71068,-4.63297,1.0,89.0
Cartagena,Cartachena|Cartagena|Cartagena i Spania|Cartaxena|Carthagene|Carthago Nova|Kartachena|Kartagena|Kartagina|Kartagjena|Kartahena|Kartaheno|Kartakhena|Karthageni|XUF|ka ta he na|kaleutahena|kartagna|kartajena|kartajina|kartakhyna|kartygana|karutahena|qrthnh,Murcia,Spain,37.60197,-0.98397,1.0,1.0
Carrizal,Carrizal de Ingenio|El Carrizal,Canary Islands,Spain,27.91161,-15.40558,0.0,84.0
Carmona,Carmona|Karmona,Andalusia,Spain,37.47125,-5.64608,1.0,221.0
Carlet,Carlet|Karlet|ka er lai te,Valencia,Spain,39.2266,-0.52142,1.0,55.0
Carcaixent,Carcagente|Carcaixen|Carcaixent|Karkakhente,Valencia,Spain,39.1218,-0.44812,1.0,25.0
Carboneras,Karboneras|ka er wo nei la si|karbwnras|karbwnyras,Andalusia,Spain,36.99666,-1.89651,1.0,9.0
Caravaca,Caravaca,Murcia,Spain,38.10558,-1.86343,1.0,647.0
Capdepera,Capdepera|Kapdepera|ka pu de pei la|kabdybyra,Balearic Islands,Spain,39.70237,3.43532,1.0,94.0
Cantillana,Cantillana,Andalusia,Spain,37.61032,-5.82472,1.0,32.0
Can Picafort,C'an Picafort|Can Picafort,Balearic Islands,Spain,39.76567,3.15488,1.0,6.0
Candelaria,Cancelaria|Candelaria|Kandelaria|Kandelarii|Kandelarija|kan de la li ya|kanderaria|kandylarya  santa krwth dy tynyryfh,Canary Islands,Spain,28.3548,-16.37268,0.0,36.0
Canals,Canals|Canals de Canolas,Valencia,Spain,38.96251,-0.58443,1.0,166.0
Campos,Campos,Balearic Islands,Spain,39.43099,3.01935,1.0,25.0
Campo de Criptana,Kampo-de-Kriptana|kambw dy kraybtana|kan bo de ke li pu ta na,Castille-La Mancha,Spain,39.40463,-3.12492,1.0,711.0
Campina,Campina|Caserio Campina,Andalusia,Spain,38.21896,-2.98069,1.0,641.0
Campillos,,Andalusia,Spain,37.04826,-4.86308,1.0,470.0
El Campello,Campello|El Campello,Valencia,Spain,38.42885,-0.39774,1.0,24.0
Campanario,Campanario|Kampanario|kampanaryw|kan pa na li ao,Extremadura,Spain,38.8644,-5.61744,1.0,397.0
Camas,Camas|Kamas|ka ma si,Andalusia,Spain,37.40202,-6.03314,1.0,11.0
Calvia,Calvia|Kal'vija|Kalvia|Kalvija|ka er wei ya|kalbi xa|kalbya|kalfya|karubia,Balearic Islands,Spain,39.5657,2.50621,1.0,125.0
Calp,Calp|Calpe|Kal'p|Kalp|ka er pei|kalby|kalp,Valencia,Spain,38.6447,0.0445,1.0,58.0
Callosa de Segura,Callosa de Segura|Kal'josa-de-Segura|Kal'osa-de-Segura|Kalyosa de Segura|ka e sa de sai gu la|kalwsa dy swjwra|kaywsa d sgwra,Valencia,Spain,38.12497,-0.87822,1.0,23.0
Calasparra,Calasparra|Kalasparra|ka la si pa la|kalasbara,Murcia,Spain,38.22997,-1.69986,1.0,355.0
Cala Rajada,Cala Rajada|Cala Ratjada,Balearic Islands,Spain,39.71174,3.4631,1.0,7.0
Calamonte,Calamonte,Extremadura,Spain,38.88861,-6.38791,1.0,237.0
Cala Millor,Cala Millor|Kala Millor|Kala-Mil'o|kallamiyoleu,Balearic Islands,Spain,39.60496,3.38671,1.0,12.0
Cadiz,CDZ|Cadice|Cadis|Cadix|Cadiz|Cai|Gadeira|Gades|Gadir|Iungadir|Kadis|Kadisas|Kadiz|Kadizo|Kadyks|Kantith|La tacita de plata|jia de si|kadi s|kadiseu|kadisu|kads|kadydh|kadys|qads|qdys,Andalusia,Spain,36.52672,-6.2891,1.0,22.0
Caceres,Caceres|Caceres i Spania|Cacris|Kaserehs|Kaseres|Kaseresa|Kaseresas|Katheres|Norba Caesarina|QUQ|ka sai lei si|ka se res|ka sha li si|kakeresa|kakyrys|kaseleseu|kaseresu|kasrs|kasyrys|katheresa|kathyrs|kathyrys|qshrsh|qsrs|qsrsh,Extremadura,Spain,39.47649,-6.37224,1.0,441.0
Cabra,Cabra|Kabra,Andalusia,Spain,37.47249,-4.44206,1.0,458.0
Cabeza del Buey,Cabeza de Buey|Cabeza del Buey|Cabezabuei|Kabesa-del'-Buehj|Kabesa-del'-Buej|Kabeza del Bej|ka wei sa de er wu ai|kabyza dyl by,Extremadura,Spain,38.72227,-5.21946,1.0,531.0
Burriana,Borriana|Burriana|bu li ya na|bwrayna,Valencia,Spain,39.88901,-0.08499,1.0,22.0
Burjassot,Bujursot|Burjassot|Burkhasot,Valencia,Spain,39.50984,-0.41327,1.0,51.0
Bunyola,Bunyola,Balearic Islands,Spain,39.69634,2.69955,1.0,217.0
Bunol,Bun'jol'|Bun'ol'|Bunol|Bunyol|bu ni ao er|bunyol|bunyoru,Valencia,Spain,39.41667,-0.78333,1.0,347.0
Bullas,Abula|Aebura|Bullas|Bulles,Murcia,Spain,38.04667,-1.67227,1.0,654.0
Bujalance,Bujalance|Bukhalanse|bu ha lan sai|bwkhalanky  qrtbt,Andalusia,Spain,37.89556,-4.38074,1.0,338.0
Buenavista del Norte,Buehnavista-del'-Norte|Buenavista|Buenavista del Norte|Buenavista-del'-Norte|bu ai na wei si ta de er nuo er te|bwynafysta dyl nwrty,Canary Islands,Spain,28.37458,-16.86098,0.0,38.0
Brenes,Brenes|bu lei nei si,Andalusia,Spain,37.54944,-5.87139,1.0,21.0
Brena Alta,Brena Alta,Canary Islands,Spain,28.65,-17.78333,0.0,329.0
Bornos,Bornos,Andalusia,Spain,36.81677,-5.74448,1.0,154.0
Bormujos,Bormujos,Andalusia,Spain,37.37358,-6.07233,1.0,113.0
Bonares,Bonares,Andalusia,Spain,37.32423,-6.68073,1.0,87.0
Bollullos par del Condado,Bollullos|Bollullos par del Condado,Andalusia,Spain,37.34127,-6.5397,1.0,129.0
Bollullos de la Mitacion,Bollullos de la Mitacion,Andalusia,Spain,37.34014,-6.13719,1.0,87.0
Bolanos de Calatrava,Bolan'jos-de-Kalatrava|Bolan'os-de-Kalatrava|Bolanos|Bolanos de Calatrava|bo la ni ao si de ka la te la wa|bwlanyws dy kalatrafa,Castille-La Mancha,Spain,38.9069,-3.66345,1.0,652.0
Blanca,Blanca,Murcia,Spain,38.1791,-1.37473,1.0,151.0
Binissalem,Binissalem|bnw salm|bnw slam|bny salm|bynysalym,Balearic Islands,Spain,39.68744,2.84396,1.0,133.0
Bigastro,Bigastre|Bigastro,Valencia,Spain,38.06237,-0.89841,1.0,32.0
Betera,Betera,Valencia,Spain,39.59111,-0.46151,1.0,110.0
Berja,Berdza|Berha|Berkha|Vergis|bei er ha|brjt|brkha,Andalusia,Spain,36.84693,-2.94966,1.0,338.0
Benissa,Benissa,Valencia,Spain,38.71492,0.04849,1.0,266.0
Beniganim,Beniganim,Valencia,Spain,38.95,-0.43333,1.0,210.0
Benifaio,Banifaio|Benifayo,Valencia,Spain,39.28439,-0.42598,1.0,26.0
Beniel,Beniel,Murcia,Spain,38.04636,-1.00233,1.0,32.0
Benidorm,Benidorm|Benidormo|bei ni duo er mu|benidoleum|benidorumu|bnydwrm,Valencia,Spain,38.53816,-0.13098,1.0,30.0
Benetusser,,Valencia,Spain,39.42265,-0.39686,1.0,15.0
Benejuzar,Benejusser|Benejuzar,Valencia,Spain,38.07728,-0.83942,1.0,28.0
Benalmadena,Benal'madena|Benalmadena|bei na er ma de na|benalmadena|bnalmadna|bynalmadyna,Andalusia,Spain,36.5961,-4.57267,1.0,240.0
Benaguasil,Benaguacil|Benaguasil,Valencia,Spain,39.6,-0.58333,1.0,103.0
Benacazon,Benacazon,Andalusia,Spain,37.35289,-6.19663,1.0,120.0
Betxi,Bechi|Betxi,Valencia,Spain,39.93333,-0.2,1.0,96.0
Beas de Segura,Beas de Segura|Beas-de-Segura|bei ya si de sai gu la|byas d sgwra|byas dy syghwra,Andalusia,Spain,38.2524,-2.88875,1.0,586.0
Baza,Baza,Andalusia,Spain,37.49073,-2.77259,1.0,842.0
Barrio de Peral,Barrio de Peral|Barrio del Peral,Murcia,Spain,37.62513,-0.98792,1.0,30.0
Bargas,,Castille-La Mancha,Spain,39.94113,-4.01979,1.0,594.0
Barbate,Barbate|Barbate de Franco,Andalusia,Spain,36.19237,-5.92186,1.0,18.0
Bailen,Bailen|Bajlen|bai lun|baillen|bayln|baylyn,Andalusia,Spain,38.09639,-3.77786,1.0,349.0
Baeza,Baeza,Andalusia,Spain,37.99384,-3.47103,1.0,763.0
Baena,Baehna|Baena|bai na|byant,Andalusia,Spain,37.6167,-4.32245,1.0,412.0
Badajoz,Ara Pacis Augustalis|BJZ|Badahozo|Badajos|Badajoz|Badakhos|badahosu|badakhws|badakhwz|btlyws,Extremadura,Spain,38.87789,-6.97061,1.0,192.0
Azuaga,Asuaga|Azuaga|a su a jia|aswaga|azwagha,Extremadura,Spain,38.26667,-5.68333,1.0,583.0
Aznalcollar,Aznacollar|Aznalcollar,Andalusia,Spain,37.51914,-6.26988,1.0,126.0
Ayora,Aiora|Ajora|Ayora|ai ao la|ayra,Valencia,Spain,39.05852,-1.05635,1.0,609.0
Ayamonte,Ajamonte|Ajjamonte|Ayamonte|ai a meng te|ayamwnty,Andalusia,Spain,37.21329,-7.40807,1.0,12.0
Atarfe,,Andalusia,Spain,37.22479,-3.68686,1.0,613.0
Atamaria,Atamaria|Atamarija|Caserio Atamaria,Murcia,Spain,37.59989,-0.80682,1.0,98.0
Aspe,Asp|Aspe|a si pei|asby|asph,Valencia,Spain,38.34511,-0.76721,1.0,245.0
Arucas,Arucas|Arukas,Canary Islands,Spain,28.11983,-15.52325,0.0,280.0
Arta,Arta|a er ta|arta  jzr alblyar,Balearic Islands,Spain,39.69315,3.34979,1.0,128.0
Arroyo de la Miel,,Andalusia,Spain,36.59917,-4.53505,1.0,20.0
Arroyo de la Luz,Arrojo-de-la-Lus|Arroyo de la Luz|Arroyo del Puerco|a luo yue de la lu si|arwyw dy la lwz,Extremadura,Spain,39.48511,-6.58401,1.0,352.0
Arrecife,ACE|Aresife|Arrecife,Canary Islands,Spain,28.96302,-13.54769,0.0,20.0
Arona,Aron|Arona|Arona pa Tenerife|a luo na|arwna  asbanya,Canary Islands,Spain,28.09962,-16.68102,0.0,632.0
Armilla,Armil'ja|Armilya|a er mi li ya|armya,Andalusia,Spain,37.14386,-3.62534,1.0,666.0
Arjona,Arjona|Arkhona|Arxona|a er huo na|arkhna|arkhwna,Andalusia,Spain,37.93493,-4.05478,1.0,452.0
Argamasilla de Calatrava,,Castille-La Mancha,Spain,38.72985,-4.07627,1.0,668.0
Argamasilla de Alba,Argamasilla de Alba,Castille-La Mancha,Spain,39.12917,-3.09247,1.0,674.0
Arcos de la Frontera,Arcos|Arcos de la Frontera|Arkos-de-la-Frontera|a er ke si-de la fu long te la|aleukoseudelapeulontela|arkws dyla frwntyra,Andalusia,Spain,36.75075,-5.81056,1.0,144.0
Archidona,Archidona|a er qi duo na|arshdhwnt,Andalusia,Spain,37.09654,-4.38869,1.0,730.0
Archena,Archena,Murcia,Spain,38.11631,-1.30043,1.0,118.0
Arafo,Arafo|Arato,Canary Islands,Spain,28.33971,-16.42244,0.0,500.0
Aracena,Aracena|Arasena|a la sai na|arathyna,Andalusia,Spain,37.89396,-6.56116,1.0,675.0
Antigua,La Antigua,Canary Islands,Spain,28.42307,-14.01379,0.0,263.0
Antequera,Anteguera|Antekera|Antequera|an te ke la|antqyrt,Andalusia,Spain,37.01938,-4.56123,1.0,519.0
Anover de Tajo,Anover de Tajo,Castille-La Mancha,Spain,39.98873,-3.76579,1.0,598.0
Andujar,Anducharas|Andujar|Andukhar|an du ha er|andouharu|andwjr|andwkhar,Andalusia,Spain,38.03922,-4.05077,1.0,216.0
Andratx,Andratx,Balearic Islands,Spain,39.57553,2.42017,1.0,81.0
Altea,Altea,Valencia,Spain,38.59878,-0.05151,1.0,1.0
Alora,Alora|Iluro,Andalusia,Spain,36.82358,-4.70575,1.0,215.0
Almussafes,Almusafes|Almussafes,Valencia,Spain,39.28333,-0.41667,1.0,8.0
Almunecar,Al'mun'ekar|Almunecar|Sexi Firmum Iulium|a er mu nie ka er|almnkb|almunyekaleu|arumunyekaru,Andalusia,Spain,36.73246,-3.69173,1.0,-9999.0
Almoradi,Al'moradi|Almoradi|Almordi|a er mo la di|almwrady,Valencia,Spain,38.10879,-0.79197,1.0,17.0
Almonte,Al'monte|Almonte|a er meng te|almwnt  aspanya|almwnty,Andalusia,Spain,37.2647,-6.51667,1.0,74.0
Almodovar del Rio,Almodovar del Rio,Andalusia,Spain,37.8107,-5.02037,1.0,119.0
Almodovar del Campo,Almodovar|Almodovar del Campo,Castille-La Mancha,Spain,38.70936,-4.17908,1.0,675.0
Almeria,Al'meri|Al'merija|Al'meryja|Almeria|Almerija|Almerio|LEI|Unci|a er mei li ya|almelia|almeriya|almrya|almryt|almyrya|arumeria,Andalusia,Spain,36.83814,-2.45974,1.0,21.0
Almendralejo,Al'mendralekho|Almendralechas|Almendralejo|Almendraleju|Almendralekho|a er men de la lai huo|almndralykhw,Extremadura,Spain,38.68316,-6.40747,1.0,338.0
Almenara,,Valencia,Spain,39.75,-0.21667,1.0,7.0
Almassora,Almassora|Almazora,Valencia,Spain,39.94729,-0.06313,1.0,37.0
Almansa,Al'mansa|Almansa|a er man sa|almansa|almnsy|yan man sha,Castille-La Mancha,Spain,38.86917,-1.09713,1.0,702.0
Almagro,Almagro,Castille-La Mancha,Spain,38.88941,-3.71131,1.0,651.0
Aljaraque,Aljaraque,Andalusia,Spain,37.26989,-7.02313,1.0,30.0
Alicante,A-li-kham-thit|ALC|Akra Leuke|Alacant|Alacante|Alacanti|Alakanto|Alicant|Alicante|Alikante|Alikanteh|Lucentum|a li kan te|alalaqant|alikante|allikante|alykant|alykanth|arikante|xa li kan te,Valencia,Spain,38.34517,-0.48149,1.0,18.0
Alhaurin el Grande,Al'khaurin-ehl'-Grande|Alaurin-ehl'-Grande|Alaurin-el'-Grande|Alhaurin el Grande|a er ao li nei er ge lan de|alawryn la ghrandy,Andalusia,Spain,36.643,-4.68728,1.0,249.0
Alhaurin de la Torre,Al'khaurin-de-la-Torre|Alaurin de la Tore|Alaurin-de-la-Torre|a er ao lin de la tuo lei|alhaywryn dw la twr|brj alhwaryyn,Andalusia,Spain,36.66401,-4.56139,1.0,93.0
Alhama de Murcia,Al'khama-de-Mursija|Alama-de-Mursija|Alfama de Murcia|Alhama|Alhama de Murcia|a er a ma de mu er xi ya|alama dy mrsyt,Murcia,Spain,37.85103,-1.42507,1.0,201.0
Alhama de Granada,Al'khama-de-Granada|Alama-de-Granada|Alhama|Alhama de Granada|a er a ma de ge la na da|alama dy ghranada,Andalusia,Spain,37.00689,-3.98963,1.0,879.0
Alguazas,Alguazas,Murcia,Spain,38.05356,-1.25051,1.0,100.0
Algodonales,,Andalusia,Spain,36.88044,-5.40536,1.0,369.0
Alginet,Alginet,Valencia,Spain,39.26667,-0.46667,1.0,34.0
Algemesi,Al'khemesi|Aldzhemezi|Algemesi|a er he mei xi,Valencia,Spain,39.19042,-0.43572,1.0,32.0
Algeciras,AEI|Al Jezita|Al'khesiras|Alchesirasas|Alchethiras|Alchezira|Algeciras|Algecires|Algesiras|Algesires|Alkhesiras|Alxeciras|a er he xi la si|alghykras|alhesilaseu|alkhythyras|aruheshirasu,Andalusia,Spain,36.13326,-5.45051,1.0,29.0
Algarrobo,Algarrobe|Algarrobo,Andalusia,Spain,36.77388,-4.03952,1.0,90.0
Algar,Algar|El Algar,Murcia,Spain,37.6474,-0.86699,1.0,39.0
Alfafar,Al'fafar|Alfafar|a er fa fa er,Valencia,Spain,39.41667,-0.38333,1.0,7.0
Aldaia,Al'dajja|Aldaia|Aldaya,Valencia,Spain,39.46569,-0.46005,1.0,49.0
L'Alcudia,Alcudia|Alcudia de Carlet|L'Alcudia,Valencia,Spain,39.19717,-0.50537,1.0,43.0
Alcudia,Alcudia,Balearic Islands,Spain,39.85316,3.12138,1.0,19.0
Alcoy,Al'ka|Al'koj|Alco|Alcodium|Alcoi|Alcoy|Alkoj|Alkojus|a er ke yi|alkwy|arukoi,Valencia,Spain,38.70545,-0.47432,1.0,554.0
Alzira,Al'sira|Alchezira|Alcira|Alsira|Alzira|a er xi la|alzyra|alzyra  walnsya|jzyrt shqr,Valencia,Spain,39.15,-0.43333,1.0,26.0
Alcazar de San Juan,Al'kasar-de-San-Khuan|Alcazar|Alcazar de Consuegra|a er ka sa er de sheng hu an|alkzar dy san khwan,Castille-La Mancha,Spain,39.39011,-3.20827,1.0,644.0
Alcaudete,Alcaudete,Andalusia,Spain,37.59091,-4.08237,1.0,672.0
Alcantarilla,Al'kantaril'ja|Alcantarilla,Murcia,Spain,37.96939,-1.21714,1.0,76.0
